site_id,biogeo,phab_metrics,phab_ibi,closest_gage,gage_riv_dist_m
910M24924,1,1,0,11014000,23743.032723561922
911M24926,1,1,0,11012000,13032.533999612639
911LAP,1,1,1,11012000,42930.874858757
911M24945,1,1,0,11012000,45483.5258102002
911M24934,1,1,0,11012000,31785.813642177167
907M23348,1,1,0,11023000,6281.533077415559
907M23385,1,1,1,11022500,2101.663335060588
909M24937,1,1,0,11015000,11307.694695402926
907M23349,1,1,1,11022500,9482.551873665565
907M23343,1,1,1,11022200,29818.795609917568
907M23401,1,1,1,11022500,1433.6352858973441
909M24925,1,1,0,11015000,2234.288076666376
909WE0662,1,1,1,11015000,11334.591928580321
906M21738,1,1,0,11023340,6901.215295357595
906M21758,1,1,0,11023340,1734.8665008610124
907M23367,1,1,1,11022200,43401.99193819004
907BCT,1,1,1,11022200,44587.34061704204
907M23342,1,1,1,11022200,53271.589081814986
907M23362,1,1,0,11022200,39145.01184647028
905M21737,1,1,0,11027000,34653.041111007245
905M21725,1,1,0,11027000,31409.37194930758
905M21756,1,1,0,11027000,12778.678663857589
904M21729,1,1,0,11042000,52718.849425165114
904WE1125,1,1,1,11042000,53258.549636638796
905PS0026,1,1,1,11025500,239.789225875768
904M21761,1,1,1,11042000,32751.946006214363
905BCC,1,1,1,11025500,9517.897971029082
904M21784,1,1,1,11042000,19126.328874011328
903M20214,1,1,1,11042000,416.835334731632
903M20230,1,1,1,11042000,5627.342249081099
903M20235,1,1,1,11033000,11056.540555976806
903M20280,1,1,1,11041000,6142.68694773354
903M20213,1,1,1,11040000,7707.861119633702
903M20208,1,1,1,NA,NA
903FRC,1,1,1,11040000,28863.345772548655
903M20177,1,1,1,11040000,9415.989214673458
902M20273,1,1,1,11044500,1033.094329864111
902M20237,1,1,1,11044250,1346.7947272163317
902M18893,1,1,0,11044000,3941.489548910984
902WE0888,1,1,1,11044800,5511.708321964881
902M18865,1,1,0,11044350,7232.654539763624
902S01097,1,1,0,11044350,7972.045271834505
SMC00206,1,1,1,11047000,2249.479437839862
901M14134,1,1,1,11047000,9020.86016032613
SMC00873,1,1,1,11047000,10062.09340578478
802S09698,1,1,0,11069500,16075.293627022726
SMC00105,1,1,1,11075800,18648.63317707805
404M07362,1,1,0,11103500,29017.915556532836
801M16949,1,1,1,11072100,16353.606305223211
801M16908,1,1,1,11074000,4682.84060975883
801M16932,1,1,1,11066500,17903.17755091748
SMC11581,1,1,1,11073495,3458.920168266599
404M07361,1,1,0,11104000,6097.17734271904
404M07360,1,1,0,11105500,15823.863684264938
412M08622,0,1,1,11101250,17818.16918306017
405CE0280,1,1,1,11080500,6268.172392619779
412WE0552,1,1,1,11098000,3152.665754973098
SMC00428,1,1,0,11082000,23990.42114957525
403M05785,1,1,0,11108145,21351.209724519682
402SNPMCR,1,1,0,11114495,1596.5901542614542
