SampleDate,StartEvent,EndEvent,site
4/4/2013,NA,NA,901BELOLV
3/27/2014,4/4/2013,5/6/2014,901BELOLV
5/1/2014,4/4/2013,5/6/2014,901BELOLV
3/26/2015,2/13/2014,4/12/2015,901BELOLV
4/26/2016,12/23/2014,5/12/2016,901BELOLV
3/27/2014,NA,NA,901NP9FLC
4/30/2014,NA,NA,901NP9FLC
3/25/2015,11/16/2013,6/8/2015,901NP9FLC
4/21/2016,11/14/2014,6/1/2016,901NP9FLC
5/10/2017,11/28/2015,8/24/2017,901NP9FLC
3/27/2014,NA,NA,901NP9FLC
4/30/2014,NA,NA,901NP9FLC
3/25/2015,11/16/2013,6/8/2015,901NP9FLC
4/21/2016,11/14/2014,6/1/2016,901NP9FLC
5/10/2017,11/28/2015,8/24/2017,901NP9FLC
4/18/2016,12/5/2014,4/20/2016,901NP9HJC
5/11/2017,NA,NA,901NP9HJC
3/26/2014,NA,NA,901NP9LCC
5/10/2017,1/1/2016,8/24/2017,901NP9LCC
5/29/2012,NA,NA,903ACPCT1
3/26/2013,NA,NA,903ACPCT1
5/5/2016,NA,NA,903ACPCT1
5/3/2017,1/1/2016,7/8/2017,903ACPCT1
5/15/2018,NA,NA,903ACPCT1
4/8/2015,NA,NA,903FCPSPx
5/3/2016,NA,NA,903FCPSPx
5/8/2015,NA,NA,903NP9LWF
5/18/2016,NA,NA,903NP9LWF
3/25/2014,NA,NA,903NP9SLR
3/19/2015,3/1/2014,3/20/2015,903NP9SLR
3/22/2016,3/1/2015,3/21/2016,903NP9SLR
4/19/2017,NA,NA,903NP9SLR
4/9/2015,NA,NA,903NP9UAC
5/4/2016,NA,NA,903NP9UAC
5/3/2017,NA,NA,903NP9UAC
5/25/2018,NA,NA,903NP9UAC
5/22/2015,2/21/2015,5/28/2015,903SLFRCx
5/3/2017,NA,NA,903SLFRCx
4/8/2015,NA,NA,903WE0798
5/4/2016,4/8/2015,6/26/2016,903WE0798
4/8/2015,NA,NA,903WE0900
5/4/2016,4/9/2015,3/22/2016,903WE0900
4/3/2013,NA,NA,905DGCC1x
3/25/2014,NA,NA,905DGCC1x
4/11/2017,1/1/2016,6/24/2017,905DGCC1x
3/25/2014,NA,NA,905SDBDN9
3/29/2016,1/1/2015,3/28/2016,905SDBDN9
5/4/2017,NA,NA,905SDBDN9
3/27/2015,NA,NA,905WE0679
5/3/2016,NA,NA,905WE0679
5/4/2017,NA,NA,905WE0679
4/6/2015,NA,NA,909S00282
4/20/2016,2/26/2015,6/17/2016,909S00282
3/21/2016,3/1/2015,6/3/2016,909SWCASR
5/2/2017,12/20/2015,8/5/2017,909SWCASR
4/2/2013,NA,NA,911COPPER
3/24/2015,12/15/2014,4/1/2015,911COPPER
5/2/2017,NA,NA,911COPPER
5/6/2014,NA,NA,911KCKCRx
4/7/2015,NA,NA,911KCKCRx
4/19/2016,2/25/2015,6/10/2016,911KCKCRx
3/24/2014,NA,NA,911NP9ATC
4/29/2014,NA,NA,911NP9ATC
4/7/2015,11/5/2013,6/15/2015,911NP9ATC
5/10/2017,NA,NA,911NP9ATC
3/24/2014,NA,NA,911NP9UCW
4/29/2014,NA,NA,911NP9UCW
3/18/2015,11/16/2013,7/2/2015,911NP9UCW
4/20/2016,11/19/2014,6/2/2016,911NP9UCW
5/2/2017,11/2/2015,7/30/2017,911NP9UCW
3/24/2016,NA,NA,911S00858
5/9/2017,1/6/2016,9/20/2017,911S00858
3/23/2015,NA,NA,911S01142
4/19/2016,NA,NA,911S01142
5/18/2012,NA,NA,911TJKC1x
6/25/2012,NA,NA,911TJKC1x
3/18/2013,NA,NA,911TJKC1x
3/30/2015,NA,NA,911TJKC1x
4/19/2016,3/11/2015,5/31/2016,911TJKC1x
5/10/2017,12/22/2015,9/27/2017,911TJKC1x
6/25/2012,NA,NA,911TJLCC2
7/9/2012,NA,NA,911TJLCC2
7/23/2012,NA,NA,911TJLCC2
3/18/2013,NA,NA,911TJLCC2
4/7/2015,3/11/2015,5/31/2016,911TJLCC2
4/20/2016,12/22/2015,9/27/2017,911TJLCC2
